note_id,content,create_time,create_date_time,liked_count,comments_count,shared_count,last_modify_ts,note_url,ip_location,user_id,nickname,gender,profile_url,avatar,source_keyword
5253076428784910,实时播报： 【数字人民币APP上线“碳普惠”小程序服务 “碳积分”可兑换数字人民币】2026年伊始，数字人民币APP迎来系列重磅更新。在完成2.0版升级、实现钱包余额计息功能后，该APP生活服务专区近日悄然上线“碳普惠”小程序服务，并率先在上海地区落地。记者体验后发现，在开启该功能之后，数字人民币APP将自动记录用户通过各类绿色低碳行为所产生的碳减排量，并将其量化为“碳积分”。这些积分如同绿色行为的“数字存折”，可以按照一定规则兑换成数字人民币，实现了绿色行为向经济收益的直接转化。有分析人士向记者表示，上述举措为数字人民币开辟了极具社会价值和生活气息的创新应用场景，使其更深入地融入百姓日常生活，从而获得更加快速的普及推广。“将抽象的环保贡献转化为看得见、摸得着的经济激励，极大降低了公众践行绿色生活的门槛，碳普惠激励模式有助于形成‘人人参与、人人受益’的低碳社会风尚。”该分析人士说。（证券时报）,1767943281,2026-01-09 07:21:21+08:00,5,0,2,1770827626048,https://m.weibo.cn/detail/5253076428784910,广东,5051077448,快兰斯24小时财经直播,m,https://m.weibo.cn/u/5051077448?luicode=20000061&lfid=5253076428784910&launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.750.750.180/005vPNZ6ly8gdi6hq3tufj30ku0ku3yv.jpg?KID=imgbed,tva&Expires=1770838411&ssig=uJJht4XSZV",碳积分
5253880083645284,【碳积分可直接“换钱”！数字人民币APP，上新！】网页链接 ,1768134887,2026-01-11 12:34:47+08:00,1,0,2,1770827626681,https://m.weibo.cn/detail/5253880083645284,,5883677894,券商中国,m,https://m.weibo.cn/u/5883677894?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.629.629.180/006qbjoyly8h8vhd6kxn6j30hh0hhjsc.jpg?KID=imgbed,tva&Expires=1770838410&ssig=HO%2BoETfoM9",碳积分
5248999357417316,楼上的碳积分直接假分就行再去抽 ,1766971231,2025-12-29 01:20:31+08:00,4,5,0,1770827626684,https://m.weibo.cn/detail/5248999357417316,上海,5894255577,丐帮羊毛日记,m,https://m.weibo.cn/u/5894255577?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.1002.1002.180/006qTH8lly8govy925xvhj30ru0ru3zn.jpg?KID=imgbed,tva&Expires=1770838410&ssig=eDWQd%2B4R5x",碳积分
5257997303680117,【#数字人民币2.0来了#！钱包余额能生息，#绿色出行可兑换数字人民币#】骑共享单车、乘坐地铁公交，你做的每一件环保小事都能被量化成“碳积分”，这些碳积分不仅可以记录你的绿色足迹，还能兑换为实实在在的数字人民币。2026年新年伊始，数字人民币重磅升级为2.0版。新一代数字人民币计量框架、管理体系、运行机制和生态体系正式启动实施，数字人民币钱包里的钱可以产生利息了。在推出计息功能的同时，数字人民币运营管理中心还将数字人民币与低碳生活深度绑定，在数字人民币APP内推出“碳普惠”小程序服务并率先在上海地区上线。用户开通该服务后，日常绿色低碳行为产生的碳积分将自动归集至“碳普惠”账户，并可兑换数字人民币。升级后的数字人民币对普通用户意味着什么？将对实体经济的发展产生哪些影响？数字人民币2.0来了！钱包余额能生息，绿色出行可变现,1769116509,2026-01-22 21:15:09+08:00,2,1,4,1770827626687,https://m.weibo.cn/detail/5257997303680117,,1926909715,第一财经日报,f,https://m.weibo.cn/u/1926909715?luicode=20000061&lfid=5257997303680117&launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/0026p7eXly8h8vhdgp7tej60e80e8wer02.jpg?KID=imgbed,tva&Expires=1770838413&ssig=T3FP3R3ME9",碳积分
5235087606287051,为了这点碳积分 支付4.5 还有比我冤种的嘛 ,1763654411,2025-11-20 16:00:11+08:00,1,2,0,1770827626689,https://m.weibo.cn/detail/5235087606287051,辽宁,7468645888,爱抠鼻屎的老太婆,f,https://m.weibo.cn/u/7468645888?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.1028.1028.180/0089rFYsly8hmyoic7rjnj30sk0skdhv.jpg?KID=imgbed,tva&Expires=1770838410&ssig=D%2Bjr%2FTSzkP",碳积分
5237940628488839,#逛北京这座公园赚碳积分#在北京温榆河公园·未来智谷，走路、骑行、答题都能攒碳积分。蓝色科技区超有趣，风能树、氢能自行车、发电互动全都有。 ,1764334625,2025-11-28 12:57:05+08:00,2,1,0,1770827626692,https://m.weibo.cn/detail/5237940628488839,广东,5743878089,青笙挽歌ZH,f,https://m.weibo.cn/u/5743878089?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006gIJ4Zly8hoi8uagbg5j30e80e8mxj.jpg?KID=imgbed,tva&Expires=1770838410&ssig=cfxioZu25x",碳积分
5228840192311391,@小lin说 带你打开银行的“绿色账本”！建行的ESG实践既面向企业，也惠及个人：企业有”碳数贷”、“绿能贷“专项支持，个人也能靠坐地铁、开新能源车攒碳积分，直接兑换数字人民币红包.......原来绿色生活还能这么实惠？银行正在让ESG变得触手可及！  新浪财经的微博视频 ,1762164911,2025-11-03 10:15:11+08:00,3127,548,1545,1770827626694,https://m.weibo.cn/detail/5228840192311391,,1638782947,新浪财经,m,https://m.weibo.cn/u/1638782947?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.26.42.647.647.180/001MUaj1ly8h8vgnehpw0j60j60j6wf602.jpg?KID=imgbed,tva&Expires=1770838410&ssig=KLemjD8KK7",碳积分
5236949910291500,个人赚积分，企业做交易——碳普惠平台让绿色生活有回报↓↓↓@国网福建电力 国家电网的微博视频 ,1764098419,2025-11-25 19:20:19+08:00,4,1,3,1770827626696,https://m.weibo.cn/detail/5236949910291500,北京,1730306175,国家电网,m,https://m.weibo.cn/u/1730306175?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.23.30.1038.1038.180/6722607fly8h9jjih6pwsj20u00u10v8.jpg?KID=imgbed,tva&Expires=1770838410&ssig=qK6RIZFOih",碳积分
5199215846494305,燃油车正被政策“温柔劝退”——北京二环内2026年工作日全天禁行纯油车，深圳试点“碳积分”倒逼转型。曾经引以为傲的V6声浪、手动挡乐趣，如今成了小众情怀。但技术没有对错，只有时代的选择。或许某天，燃油车会像胶片相机一样，成为复古玩家的收藏品。#大v聊车# ,1755101917,2025-08-13 16:18:37+08:00,21,29,27,1770827626699,https://m.weibo.cn/detail/5199215846494305,湖南,2198385842,飞驰的阿卡,m,https://m.weibo.cn/u/2198385842?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/8308b4b2ly8hrc0qserurj20u00u0n06.jpg?KID=imgbed,tva&Expires=1770838410&ssig=CcsAWAmAO6",碳积分
5133168432908679,特斯拉通过碳排放联盟已吸纳Stellantis、丰田等车企，2023年碳积分收入达17.9亿美元。比亚迪若成功组建欧洲碳积分池，或将复制这一模式，甚至挑战特斯拉的碳积分定价权。若特斯拉-比亚迪形成双巨头格局，欧洲车企或沦为“付费用户”。 ,1739354987,2025-02-12 10:09:47+08:00,9,3,2,1770827626701,https://m.weibo.cn/detail/5133168432908679,上海,1678215552,刘瑶,f,https://m.weibo.cn/u/1678215552?launchid=10000360-page_H5,"https://tva3.sinaimg.cn/crop.0.0.180.180.180/64078980jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1770838410&ssig=4yTTAUhL0W",碳积分
5237933143229964,【#逛北京这座公园赚碳积分#】#这棵用孩子声音种下的树寓意希望#打卡北京新地标温榆河公园，园内未来智谷区是北京首个“碳中和”主题公园，有超酷“碳积分”生态圈，步行、骑行发电、答题都能积累可消费碳积分，快冲！ 北京日报的微博视频  ,1764332840,2025-11-28 12:27:20+08:00,333,17,122,1770827626703,https://m.weibo.cn/detail/5237933143229964,,1893892941,北京日报,m,https://m.weibo.cn/u/1893892941?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.600.600.180/0024aA4lly8i51bp1z4bcj60go0goq3g02.jpg?KID=imgbed,tva&Expires=1770838410&ssig=9JOCffpDVT",碳积分
5199910246287250,#绿水青山可以成为金山银山#【上海#碳普惠#账户开通指南来啦！一键加入低碳行动阵营②】上海碳普惠平台已正式上线，开通个人碳账户并授权减排场景就能积累碳积分，兑换公共交通优惠、数字红包等多重福利！手把手教学视频带你完成碳普惠账户开户和场景授权，轻松开启你的低碳生活 “储蓄罐”，让每一次绿色选择都能收获看得见的回报～一起#做自然的朋友# 吧！ 上海环境的微博视频,1755267475,2025-08-15 14:17:55+08:00,4,0,2,1770827626707,https://m.weibo.cn/detail/5199910246287250,,1787537264,上海环境,m,https://m.weibo.cn/u/1787537264?luicode=20000061&lfid=5199910246287250&launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.512.512.180/6a8ba770ly8h8vjclk7lrj20e80e80t9.jpg?KID=imgbed,tva&Expires=1770838415&ssig=wtW0yfpYIK",碳积分
5191480366596442,【#特斯拉没有碳积分收入将亏损#】据美国有线电视新闻网7月22日报道，今年第一季度，特斯拉碳积分销售收入为5.95亿美元，超过其4.09亿美元的净收入。当不能售卖碳积分后，特斯拉预计出现净亏损。7月4日，特朗普签署“大而美”法案，其中将企业燃油经济性标准罚款调整为零。这使传统汽车企业不再需要为了规避罚款向电动汽车制造商购买碳积分。然而，出售碳积分正是特斯拉营收的重要组成部分。自2019年以来特斯拉已通过出售碳积分赚取106亿美元。有金融分析师表示，传统车企或将提前解除碳积分购买合同，预计今年三季度到2026年初，特斯拉将失去碳积分收入，出现净亏损。早安！（图源：CNN）,1753257635,2025-07-23 08:00:35+08:00,6,2,1,1770827626709,https://m.weibo.cn/detail/5191480366596442,,6060307497,观察者网出行中心,f,https://m.weibo.cn/u/6060307497?luicode=20000061&lfid=5191480366596442&launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/006C8qP7ly8hxvvhnesmij30u00u0mxs.jpg?KID=imgbed,tva&Expires=1770838417&ssig=hxDiDrddI4",碳积分
